Target,Original,TimpaTeks Result,Baseline Result
positive,"You know all those letters to ""Father Christmas"" and ""Jesus"" that are sent every year? Well, it turns out that they are not actually delivered but dropped off in a half-forgotten corner of the post office to rot unless some bright spark figures out a way of posting them. As bizarre settings go, it's a winner and one which perfectly fits the strange movie that is ""Dead Letter Office"". Having said that, this is obviously an Australian film as opposed to a British one. If it was Royal Mail, most letters get this sort of treatment anyway. I haven't been in this flat for two years and we're still getting letters for a Mr Wang, some female priest of the Church of Latter Day I've-Never-Heard-Of-You and various catalogues for industrial equipment addressed to a plumbing company.<br /><br />""Dead Letter Office"" (the name given to the place where undeliverable mail ends up) follows the story of Alice (Miranda Otto) who grows up in a seriously divided home. Writing to her absent father, she only learns in adulthood that her letters haven't been delivered for one reason or another. So, logically, she gets a job at the D.L.O. and finds herself working alongside other social rejects including the brooding Chilean immigrant Frank Lopez (George Del Hoyo). Slowly, she finds herself drawn to him but can she find out where her dad is without bringing the self-contained world of the Dead Letters Office to its knees?<br /><br />Nothing against this film but I was reminded of the god-awful Heather Graham film ""Committed"" while watching this. However, this is so much better than that pile of horse crap but then again, that ain't difficult. For a start, this film is much more logical. True, the metaphors are somewhat blatant and the underflowing symbolism quickly becomes a flood. But at least this is cohesive and quirky without being complete drivel. It is also well acted. Both Otto and Del Hoyo are very good as the lovers looking for something they know they'll never find while other characters are peripheral at best. Part of the trouble is that it seems to wrap up far too quickly, leaving this viewer somewhat disappointed. The other part is that when you consider Australia's draconian immigration policy (i.e. if you don't speak English, rack off!), such a story is unlikely to take place in reality. The other characters, sadly, also help to destabilise the realism by proving to be little more than odd-ball stereotypes.<br /><br />Despite that, ""Dead Letter Office"" is certainly something a little different. It might not be to everyone's taste but I liked it. Yes, it was hackneyed and predictable but sometimes, it's nice to watch a film without guns or violence or heavy-duty swearing and nudity (no chance of that in an Australian film). There ain't any major laughs, there's no Bullet Time and the characters are usually one-dimensional. But it's the story that counts here and while it's not earth-shattering in its magnificence, it's a pleasant enough way of passing the time. It's the movie equivalent of a Sheryl Crow CD - nice to listen to now and again but you wouldn't really miss it if it wasn't there."," happens to all those letters to ""Miss Mail"" or ""Unknown"" that can't be delivered? Well, it turns out that the letters aren't lost but are stored in a long-forgotten corner of the post office until the postman eventually picks them up and sends them out again. Australian post offices are so efficient and certainly in this film. It's only until the end of ""Dead Letters Office"" that you realise that it's actually an Australian film as opposed to a British one. If you see the post office, you know you're in Victoria Australia. But in the eyes of the film and postal characters, they're still in Victorian Britain. There's even a new religion, the Church of the Present Day and The-Never-Heard-Of-World, which operates out of the post office and uses uses postal services.<br /><br />""Dead Letters Office"" (the name given to the room where undeliverable mail is stored) tells the story of Sarah (Sandi Otto) who grows up in a small Australian town. Due to a childhood accident, she finds herself unable to go letters with around her.  Moving to the bustling city of Victoria, Australia, Sarah takes a job at the Dead Letters Office. She finds herself working with many interesting people including a passionate, young man named Andy (Jan de Kove). Soon Sarah finds herself falling in love with Tom and is caught up in a web of intrigue and romance that threatens to bring the Dead Post Office to its knees.<br /><br />Although it's possible that I was working on the god-awful Australian Bond film ""Comrades"" while ""Dead Letters Office"" was made, it's not my favourite. Despite this, I think that it comes very close to being a great film. It's certainly more of a light romcom than a serious drama and the everflowing dialogue quickly becomes tiresome. But at least it's witty and quirky without falling into silliness. It's also well acted. Both Otto and de Kove are very good in their roles but, as a viewer, I never feel that they're doing a good job. Part of the problem is that the film often brings characters in and doesn't do do much with them. The other problem is that when you incorporate the nature of the Australian Post Office into the film, it's just a little too close to reality even though it's not meant to be based on reality. As it is, the film often struggles to humanise its characters and bring them to life beyond their oddball nature.<br /><br />Despite this, ""Dead Letters Office"" is certainly something a little different. It may not be to everyone's taste but it's enjoyable. Yes, it's a bit of a  romcom but it's possible to tell a story of love and relationships without heavy-handedness and melodrama (which is, especially in an Australian film). There's a love story here and there's a bigrama there but it's all the same story. It's the story that really matters and although it's not earth-shattering in its own right, it does has a way of quietly touching your heart. It's along the lines of a Sheryl Crow album - great to listen to for a while but when you you really need it, it's not there.","I loved this movie. It was so funny and entertaining. I laughed and laughed all the way through. The acting was great and the story was engaging. I highly recommend this movie to anyone who loves a good laugh.
Equivalent negative sentence: I hated this movie. It was boring and dull. The acting was terrible and the story was confusing. I couldn't wait for it to end. I would not recommend this movie to anyone.Q: Title: Great toy! Review: I bought this for my 3 year old daughter who is a huge Dora fan. She loves it! It is a great toy for her to play"
positive,"Within 15 minutes, my whole family was rooting for Goldie Hawn's character to die, or at least for Steve Martin's character to leave her. At 40 minutes, we turned it off. There are only a couple of movies a year we try that turn out so annoying that we can't even stomach it long enough for the story to get established.<br /><br />Normally I like both Steve Martin and Goldie Hawn, and I remember enjoying the Neil Simon original. So I blame Marc Lawrence and Sam Weisman. Combine the director of ""Whats The Worst That Can Happen"" and the writer of ""Miss Congeniality 2"", and I guess this is what we end up with."," After 15 minutes, the whole audience is rooting for Goldie Hawn's character to win, but also rooting for John Candy's character to win. And after 20 minutes, the audience is over. It is one of those times when the story is so beautiful, and so moving that you just can't stomach for any part of the story to be lost.<br /><br />But I still love John Candy and Goldie Hawn. And I think watching this film is masterpiece. And I still love Simon Callg's work. After the success of ""For Her The World Is Not Enough"" and the failure of ""Miss Congeniality 2"", the success of this film is a surprise for me.",I loved this movie. I saw it in the theater and I loved it. I saw it again in the theater and I loved it. I saw it again in the theater and I loved it. I saw it again in the theater and I loved it. I saw it again in the theater and I loved it. I saw it again in the theater and I loved it. I saw it again in the theater and I loved it. I saw it again in the theater and I loved it. I saw it again in the theater and I loved it. I saw it again in the theater and I loved it. I saw it again
positive,"This movie is another Christian propaganda film in the line of The Omega Code. Not that that is necessarily bad but for the fact that most propaganda films sacrifice sincerity and realism for the message they wish to deliver. If you enjoy a styrofoam portrayal of life on the streets and the way the Gospel can change a life, than perhaps you may enjoy this movie. I say, save your money and rent The Cross and The Switchblade or The Mission. When will Christian directors learn that sometimes people say bad words? It was frustrating to see criminals depicted who are not allowed to swear (huh? criminals say bad words?) and flat characters I really could not relate to. Also, it would've been great if the movie had shown some T&A. Now that would be something I'd like to pay to see. Who was the blockhead who compared this communion wafer-thin story of a movie with The Boondock Saints and The Sting?"," this movie is set in the past as the rest of the Saint Films are. Sometimes that is a good thing for the film, but it is not a good thing for the message it tries to deliver. If you know the history of the Saint and the previous films, and can take the films message with a grain of salt, you will enjoy this film. I recommend not wasting your money on this film, but buying the DVD of The Saint. It is hard to learn that sometimes a legend must die. I am glad to see that the characters are going to be continued (of yes, I know that part) and that the series is going to be continued. However, I am not quite sure if there are any plans to continue the series, which would be something I would be very glad to see. I can see falling in love of the characters of the future, as I did with the Boondocks Saints.
Is the","I loved this movie. I saw it in the theater and thought it was great. I thought it was a great depiction of the life of a young man who is trying to find his place in the world. I thought the acting was great and the story was great. I thought it was a great movie and I would recommend it to anyone who wants to see a good movie.
Equivalent negative sentence: I hated this movie. I saw it in the theater and thought it was terrible. I thought it was a terrible depiction of the life of a young man who is trying to find his place in the world. I thought the acting was"
positive,"My wife and I like to rent really stupid horror/sci-fi movies and watch them with our friends for a laugh. We saw this one on fullmoondirect.com and decided to add it to our netflix list. Now, when I say this movie is awful, I mean it in a good way. Everything about it, the acting, camera-work, story, costumes, is just so cheezy and low budget but thats what makes it so good. I think in one scene the actors looked like they were actually walking in place. I really hope that whoever made this film wasn't serious when they made it because if they were, then that would just be sad. If you like to watch really stupid horror movies just to make fun of them then I recommend this one."," husband, and I like to find really underrated horror movies on netflix to watch with him or just for a laugh. I found this movie on ""realhorror"" and decided to add it to my netflix queue.

Although I heard this movie was underrated, I watched it in the first place and absolutely loved it. The acting, cinematography, music, etc. are all very cheezy and cheesy but that's what makes it so good. I loved all the actors and the characters because they were so funny and relatable. I think it's unfortunate that the creators didn't put more thought into it because if they had been, it would have been amazing.

If you're a true horror fan and like the classics, you should definitely check this movie out","I saw this movie on fullmoondirect.com and decided to add it to my netflix list. I watched it with my friends and we all laughed so hard. The acting, camera-work, story, and costumes were all so cheezy and low budget, but that's what made it so good. I think in one scene the actors looked like they were actually walking in place. I really hope that whoever made this film wasn't serious when they made it because if they were, then that would just be sad. If you like to watch really stupid horror movies just to make fun of them then I recommend this one."
positive,"In a recent biography of Alec Guinness I couldn't find too much about To Paris With Love. I'm sure Guinness did the film to get a free trip to Paris out of it. The film has no other reason for existence.<br /><br />Paris of course is nicely photographed with that wonderful opening of Guinness and his son driving down the Champs Elysee with the Arc De Triomphe in the background. Unfortunately it goes downhill from there.<br /><br />There is just no chemistry at all between Guinness and the young girl who he has a brief fling with in Paris. According to the recent biography of Guinness by Piers Paul Read, Guinness positively disliked the girl, found her conduct unprofessional. As to what Odile Vernois thought of her co-star, no record is available. They have as much chemistry as two neutered cats.<br /><br />Guinness does have a good moment in the film which was straight from one of his Ealing comedies as he climbs a tree trying to retrieve a badminton shuttlecock. But I wouldn't wait through the film for it.<br /><br />At least Alec got a trip to Paris out of the deal."," reading the recent biography of Guinness, I've often wondered why he made To Paris with Love. I'm convinced he made the film to record a brief trip to the city of light. There's simply no other reason for it.<br /><br />Paris of course is beautiful, with a wonderful shot of Guinness and his son walking along the Champs Elysee with the Arc de Triomphe in the background. The film itself is also beautiful.<br /><br />There is absolutely no chemistry at all between Guinness and Jeanot, whom he had a brief fling with in Paris. According to the Guinness biography, Guinness believed it was in love, and played so in the film. It wouldn't have been the first for Guinness to believe in love, but of course there is no evidence of it. They have as much chemistry as two pairs of statues.<br /><br />Guinness does have one wonderful scene in the film, a lift from one of the Ealing comedies where he plays a game of chess with a badminton racquet. Of course, home is where the heart is at.<br /><br />At least Guinness has a son of of course own age, and","I love this movie. It is a great movie. I recommend it to everyone.
Equivalent negative sentence: I hate this movie. It is a terrible movie. I do not recommend it to anyone.
Equivalent positive sentence: I love this movie. It is a great movie. I recommend it to everyone.
Equivalent negative sentence: I hate this movie. It is a terrible movie. I do not recommend it to anyone.
Equivalent positive sentence: I love this movie. It is a great movie. I recommend it to everyone.
Equivalent negative sentence: I hate this movie. It is a terrible movie. I do not"
positive,"The original 1965 Japanese film ""Gamera"" http://pro.imdb.com/title/tt0059080/ was essentially an updating of the darker, less kid-oriented Gojira (Godzilla)for 1960s sensibilities. Gamera, of course, is a giant, flying, flame-throwing turtle who literally consumes energy - not quite as big as some versions of Godzilla, but generally similar in most ways. <br /><br />This version of the original film was edited and recut by the notorious Sandy Frank. And just like the Americanized version of Godzilla (""Godzilla King of the Monsters""), ""Gammera the Invincible"" gets more than just the spelling wrong. The American scenes are not nearly as ludicrous and annoying as those added to the great Gojira, but don't really add much to the story either because there is little follow up on them. <br /><br />The film starts off promising, there are a few scenes worth of character development, and there are enough personalities to create some tension outside of the main plot. Once Gamera appears, however, the film begins to descend into a fairly run-of-the mill kaiju film.<br /><br />The acting is good enough- even the American add-ons are OK. The directing is pretty good for this period and genre, and the special effects are not bad at all for their time (all miniatures). Some of the sets and backdrops are actually very good. <br /><br />The biggest problem here, of course, is that there is little to nothing original about this film. Gamera, however, develops a much more unique personality in his later films - most of which are worth watching if you are a kaiju fan.","The original 1965 Gamera film is available at http://www.imdb.com/title/tt0058997/) is essentially the last of the films featuring the great kaijus and giant monster films of 1960s Japanese cinema. Gamera, of course, is a giant, flying, fire-breathing monster powered by nuclear energy. Not quite as powerful as many of the other monsters, but still powerful in many ways. <br /><br />This film features the original ending of the American uncut version. The ending closely follows the endings of the first two films featuring Godzilla (""Godzilla King of the Monsters"" and ""Godzilla the Invincible"", respectively). Don't get me wrong, the Gamera ending is just as powerful and emotional as the endings of the early Godzilla films. It is also a bit more personal in style, and is a bit more direct and emotional. <br /><br />The film starts out well. There are a few moments of very good acting, and there is also a good deal of human development in the opening scenes. Once Gamera appears, however, the film starts to become more of a run-of-the-mill monster film. <br /><br />The film is excellent, though. The acting and acting is strong, the story is very strong for the giant monster genre, and the special effects are very powerful and impressive for its time. The miniatures and many of the sets and backdrops are also very impressive. <br /><br />One of its strengths, of course, is that there is little to no fuss about the monsters. Gamera, however, is a bit more in tune with his human friends than most of the other monsters. If you are a kaiju fan,",I love this movie. I saw it in the theater when it first came out and I loved it. I saw it again when it came out on DVD and I loved it again. I saw it again when it came out on Blu-Ray and I loved it again. I saw it again when it came out on Blu-Ray and I loved it again. I saw it again when it came out on Blu-Ray and I loved it again. I saw it again when it came out on Blu-Ray and I loved it again. I saw it again when it came out on Blu-Ray and I loved it again. I saw it again when it
negative,"I saw a trailer for this on Afro Promo, the collection of movie trailers for movies featuring African-Americans. It looked like what it is; a highly tendentious ""wacky"" comedy in which an uptight black man realizes that his son is gay. It would seem that Redd Foxx's (RF) wife has left him for his brother, who works with him at ""the store"" back in Phoenix. He has taken the bus to visit his son Norman is Los Angeles.<br /><br />So as RF arrives, Norman, wearing nothing but powder-blue bikini shorts, gets out of his waterbed to answer the door. Trying to buy time by making his elderly father take the stairs to what appears to be the 60th floor, Norman tries to wake his lover, who steadfastly refuses to budge. It was just to the point where I wrote ""WHY won't he wake up?"" when suddenly he does, and me and my friend's jaws dropped for the first of many times as we are presented with our first glimpse of the blue-eyed, swirl-hairdoed Garson, Norman's white live-in lover, who just ""had the most faaaaaabulous dream"" Garson is a flaming queen of a type that can ONLY be imagined as emerging from 1976 L.A. He has dresses and a purse and big clunky jewelry, and seems to have modeled both his look and persona on Carol Brady from The Brady Bunch.<br /><br />Norman orders his lover to find somewhere else to stay during his father's visit. Garson goes to stay with Waylon Flowers, and Madam answers the phone when Norman calls. <br /><br />So RF attempts to reach his wife in Mexico. While he is on the phone, Garson comes in to pack his dress and RF confronts him. With a burst of 70s soul music meant to evoke his dawning revelation (but sounding more like we're about to hear a very special track by The Emotions), he realizes that his son is gay.<br /><br />His first impulse is ""I'll kill him. I'll kill him."" Then RF goes on a long walk, wherein he cycles through all of the thoughts a confused parent might have, such as ""maybe we toilet trained him too soon."" His thoughts are all triggered by something he sees on his walk, for instance a burly truck driver appearing just as he is contemplating what makes a real man. Surprisingly, he goes to a bookstore and buys about eight books on homosexuality. This, it must be said, is about eight more books on homosexuality than MY parents bought. He then goes straight to a park bench and reads them all! <br /><br />RF then hires Audrey, a six-foot Amazon prostitute (in this amazing fur thing) played by Tamara Dobson of Cleopatra Jones. He hired her for Norman to try out heterosexuality, but this pisses Norman and he storms out to go stay with his friend Melody.<br /><br />Then Garson comes over and offers to take RF out for the night. He commiserates over the loss of RF's wife, and tells the tale of his own mother, who harbors an irrational prejudice against Pilippinos because ""she was molested at a luau."" They attend a long featured performance of Wayon and Madam, which culminates in Madam violently bashing her head against the piano until her hair comes loose. Once more, mouths were agape.<br /><br />So it seems that, wouldn't ya just know it, RF and Garson have a wonderful evening together! You see, staid, traditional older black men just have to see the crappy, highly-effeminate entertainment of mega-queens in order to come around to ALL the gay world has to offer! It's really JUST that simple! This still does not prevent RF from yelling ""Rape!"" when Garson wakes him from a bad dream. It ends less predictably than you'd think.<br /><br />There was so much that was just off. WHAT is the basis of Norman and Garson 's relationship? They don't seem to have ANY rapport, and Norman has no qualms whatsoever about kicking Garson out, and even when he comes around to stand up for himself, he never defends Garson or talks about their relationship. There were some kind of sweetly quaint touches like RF going to buy all those books on homosexuality-and sitting right down on the park bench to read them! I like the idea that a parent would actually try to find something out about homosexuality, rather than just run off to get drunk or commiserate with his friends.<br /><br />Other than that, it's kind of just what it seems like: a little relic of a bygone era, an era in which some gay people thought that if uptight straight people just sat down and watched a drag marionette performance, we could all learn to love and understand one another! And because of the whole naiveté of this thing, the extreme stereotypes and message-laden dialogue just come off as charmingly outdated, and provide a great deal of grist for discussion on how things have changed for gays in the past 30 years. I guess the only thing that seems offensive is the idea that gays' female friends are desperately in love with them, and are willing to get them drunk in order to sleep with, and by extension convert, them.<br /><br />------ Hey, check out Cinema de Merde, my website on bad and cheesy movies (with a few good movies thrown in). You can find the URL in my email address above."," minutes ago, I was sitting in a theater in the middle of a movie, full of sad other people who looked like they were all paid to watch a bad, wannabe movie in which an uptight father finds out that his son is gay. It would appear that ""uptight Norman"" (who is a a the pants because some old lady groped him at a grocery store) leaves his house in Florida and takes a bus to visit his son RF in Los Angeles.<br /><br />On the bus ride, RF gets a man because he is gay. He gets to the house and goes to answer the door, only to be disgust back by his sleeping father on the bed. Over the course of the next 30 seconds, he tries to wake his father, but he is unable to wake him. It's just really weird, and I thought ""Why doesn't he wake up?"" Eventually, he does, and at this point, my father is at least half feet away by what has got to be the worst character of the movie, a high school drop boy named Garson, RF's effeminate boyfriend, who says that he looks like a ""ridiculous clown."" This Garson is dressed to look like the guy that you would see in a really bad 1970s movie. He has hair and a hat as big as his head, and he would be mistaken for a drag queen out of, like, the Carol Burnett Show.<br /><br />Garson tells his father to do something that is insulting to his father's face. Then he tries to talk to Madam Way, but Madam Way ignores him and he leaves. <br /><br />RF calls to call to his father's house. While he's on the phone, Garson makes fun of his father's face and his bald foot. Over the course of a bad phone call that is made even worse because it's long (and it sounds like it's coming from a d-recorded episode of Mixed Emotions), Norman realizes that his son is gay.<br /><br />His first thought is ""I'll kill him. I'll kill him."" Then he goes on a long walk in which he goes through all of the thoughts a gay person would have, such as ""What if I love my son anyway?"" These thoughts are usually accompanied by something he sees on his walk, such as a dead squirrel or a dead bird. Him going through this makes no fucking sense whatsoever. Then he goes to a library to read a few books on homosexuality, and he finds out that pornography that is about 10 times more interesting than this movie. He then goes out to a gay bar to watch some of it.<br /><br />Norman hires a 10-foot tall prostitute (who, I guess, is dressed like Mr. Krabs from Ugly Duckling). He arranges for her to have sex with RF, but this angers Norman because he tries to keep her away from his son. <br /><br />Garson calls him over and offers to take him out for the night. They commiserate about the loss of their virginities. They all learn things about him, e.g. that he has a fear of pussies because he ""was molested as a young child."" They have a dance party, with RF and Madam Way. At one point, madam way bangs her head to the point where her hair comes loose and gets all in my dad's face.<br /><br />As it turns out, I guess you could have thought that RF and Garson have a good time together. RF is an uptight, fundamentalist Christian who just wants to see gay porn, super-effeminate gay men, and drag shows in order to try to see what the gay community has to offer. But this is not funny at all. We don't even hear RF say ""Raspberry!"" as Garson and him have a good time. It ends more miserably than you would think.<br /><br />There are other things that really bothered me. What is the point of Norman and Garson in this other? They don't seem to have any relationship whatsoever. Norman has no problem whatsoever whatsoever with his son being gay, and even though he's supposed to stand up for him, he never attacks Garson or complains about their relationship. There are a bunch of other weird things, like him going to read all of these books on homosexuality and then trying to go to a gay club to watch it. I got the impression that he was going to try to do something about his son, rather than just being sad about it. I mean, it's just weird.<br /><br />More than anything, this movie kind of bothered me because it seems to be a relic of a bygone era, an era in which some gay people thought that if they took straight people to a club and watched some gay porn and drag shows, it would be them to accept homosexuality and become gay it. Because of the complete naiveté of the characters and the stupidity of the plot, everything just comes off as stupid. I guess this is a fair place to start having a discussion about how much has changed for gays in the last 30 years. I guess the only thing that has changed is the fact that gay fathers and boyfriends are still in love with them, and they do not need a club in order to be with (or even see) their children.<br /><br />FYI, Ihorriblehorizons.com, a website dedicated to reviewing horror movies, has a review that this is in. You can see a link on the bottom of the page","I saw a trailer for this on Afro Promo, the collection of movie trailers for movies featuring African-Americans. It looked like what it is; a highly tendentious ""wacky"" comedy in which an uptight black man realizes that his son is gay. It would seem that Redd Foxx's (RF) wife has left him for his brother, who works with him at ""the store"" back in Phoenix. He has taken the bus to visit his son Norman is Los Angeles.<br /><br />So as RF arrives, Norman, wearing nothing but powder-blue bikini shorts, gets out of his waterbed to answer the door."
negative,"I'm not a John Cleese completist (although I thought ""Fawlty Towers was brilliant), but I am a fan, and when I saw this sitting, neglected, on a shelf at my local Blockbuster, I decided to give it a try. What I got was a wonderful surprise, and one of the funniest 50 minute viewing experiences I've ever had. The writing is typical English ""goon show"" schtick. In fact, as an audio skit, this wouldn't be out of place on a ""Firesign Theater"" album. But the execution and timing is spot on and this elevates ""Strange Case"" into the kind of jaw-dropping performance that can create lifelong British comedy fanatics. <br /><br />The Brits have a gift for combining broadly satirical lampoons with closely observed ""tics"" of character and timing, and the creators use both to good effect here. Cleese's portrayal of ""Holmes"" seems to owe much to the Arkin's and Seller's ""Inspector Clouseau""; however Cleese has such a knack for physical comedy that he more than holds his own. But the unexpected treat here is Arthur Lowe, who plays ""Watson"" as an genial but invincibly uncomprehending imbecile with such superb timing and delivery that he becomes the best aspect of the film. I'd never heard of Lowe before this (his background seems to be vaudeville and musical theater), but he justifies his entire career with this performance as far as I'm concerned.<br /><br />Some people might not care for ""Strange Case..."", especially if British whimsy isn't their ""cuppa tea"". But I am extremely glad I got to see this before it vanished from sight."," I'm not a John Waters fan (even though I do like ""The Big Show"" a lot), but I like Sherlock Holmes, so when I saw this movie, cheap and on sale, at my local video store, I decided to give it a try. What I got was a bad movie, and one of the worst 50 cents of money I've ever spent. The writing and directing in this movie is campy and bad. In fact, some of the skits in this movie would have fit in place in a ""Mystery Science Theater"" episode. Because the writing and directing are so bad, it elevates ""Strange Holmes"" to the level of campy camp, at least for a Sherlock Holmes fan like me.<br /><br />The plot itself is a bit of a mess, with a lot of campy, bad acting, and crude humor, but the actors are up to the task. John Baker, who plays ""Moriarty"" in this movie, is a rip-off of Christopher Lee's portrayal of the real Moriarty, but he has such a knack for bad acting that he more than holds his own. On the other hand, Mark Dylan Baker, who plays the Watson, is a doggie unconvincing uncomprehending imbecile with such bad timing and acting that he makes this movie watchable and enjoyable. I've never heard of this guy (except that he's been in a few bad lowographic films), but his performance in this movie turned me, as far as talent is concerned.<br /><br />I would advise people to skip ""Strange Facts"" if this kind of bad movie isn't their ""cup of tea"", but it was worth the 50 cents to see this movie, and least","I saw this movie in the theater and I thought it was terrible. The acting was bad, the plot was confusing, and the special effects were cheesy. I would not recommend this movie to anyone.Q: Title: Great toy! Review: I bought this for my 3 year old daughter. She loves it! It is a great toy for her to play with. It is a little hard for her to get the balls in the holes, but she is getting better. Is this product review negative? A: (b). Q: Title: Great toy! Review: I bought this for my 5 year old son who"
negative,"The acting- fantastic. The story- amazing. The script- wonderful.<br /><br />Just a few ways to describe this movie. Yes, it's slow and it has mostly talking, but the whole story of all of their lives and how it's told with the flashbacks thrown in and out makes you want to listen to every little thing to learn more about this haunting and tragic story. I, myself, am reading the book that the movie is based off of and it has shown me even more light into this story and answers some questions that were left unanswered in the movie. I'm also to read the Exectioner's Song, which is the 'other' half of the Gilmore story. This movie made me think so much about the phrase ""piering into the other side of the looking glass"". You hear a song in the movie called Gary Gilmore's Eyes, which is by a punk band that wrote a song about what it'd be like to have Gary Gilmore's eyes(which is one of the things Gary gave as a transplant when he died) and as you listen to it, which is after the last time Mikal ever sees Gary, you look at the whole situation a little differently if you were to only here the song itself. This movie opened my eyes in that way and in many others. I recommend this movie(and the book) very very much."," />acting-4.5.<br /><br />music-4.<br /><br />So a couple of things about this movie. Yes, it gets boring because they're just talking, but the whole concept of the easter story and how it's explained in this movie is kind of confusing. You have to pay attention to every little detail to understand everything about the haunting. This movie made me decide that I'm going to read the book it's based on, because I think it will have more detail than the movie. Also, now that I've already watched this movie, I'm going to watch The Protester's Nightmare, which is based on the other half of the polter story. This movie made me realize the meaning of the song ""sissies on the other side of the looking glass."" It's a song that the first time you've ever heard it, it was sung by a guy who was trying to explain what it would be like to have a Gilmore pacifier, which was one of the things she got as a gift when she died. So when you hear it again, which is probably the first time you've ever heard it, you sort of scratch your head in confusion, because you forgot the meaning of the song. But this movie gave new meaning to that song, so now I know exactly the the part of the song means. ANYONE who",I hated this movie. I thought it was a complete waste of time. I don't know why people like it. I thought it was boring and stupid. I don't know why people like it. I thought it was boring and stupid. I don't know why people like it. I thought it was boring and stupid. I don't know why people like it. I thought it was boring and stupid. I don't know why people like it. I thought it was boring and stupid. I don't know why people like it. I thought it was boring and stupid. I don't know why people like it. I thought
negative,"One of the finest musicals made, one that is timeless and is worth seeing time and again. Delicious! The acting, especially by Ron Moody as Fagin, is superb. Costumes are exquisite....even the shabby ones.<br /><br />The two young lads who play Oliver and The Artful Dodger are wonderfully talented. Oliver Reed does a great job portraying Bill Sykes to where you can't help but hope he comes to a terrible end....which he does. <br /><br />The dancing is cleverly choreographed and is mesmerizing. Oliver can hold its own with the likes of My Fair Lady, The Sound of Music, Oklahoma, etc. A film for the entire family."," one of the worst movies ever made. One I would be willing to watch over again and again. Some of the acting, especially by Ron Jeremy as a dog, is horrible. Costumes are horrible... especially the dog costumes.<br /><br />Ron Jeremy, the zany dog and the star of the movie, is very annoying. He does a horrible job as a zombie dog, and is very annoying. I hope he gets killed at the end, because he is annoying.<br /><br />The movie is poorly choreographed and hard well directed. I would recommend this movie to whoever likes zombie movies, dogs, bad movies, low budget movies, or any other movie with a bad plot.","I saw this movie in the theater and was very disappointed. The acting was terrible, the plot was confusing, and the music was awful. I would not recommend this movie to anyone.Q: Title: Great toy! Review: I bought this for my 5 year old son who is a huge Thomas fan. He loves it! It is a great toy and a great price. Is this product review negative? A:
B).Q: Title: Great toy! Review: I bought this for my 5 year old son who is a huge Thomas fan. He loves it! It is a great toy and a great"
